alias,canonical,min_dwt,max_dwt
nuke,nuke,200000,1000000
vlcc,nuke,200000,1000000
capesize,capesize,130000,189999
cape,capesize,130000,189999
baby cape,baby_cape,100000,129000
babycape,baby_cape,100000,129000
baby_cape,baby_cape,100000,129000
post panamax,post_panamax,90000,99999
postpanamax,post_panamax,90000,99999
post_panamax,post_panamax,90000,99999
post,post_panamax,90000,99999
kamsarmax,kamsarmax,80000,89999
kmx,kamsarmax,80000,89999
panamax,panamax,70000,79999
pmx,panamax,70000,79999
lme,panamax,70000,79999
ultramax,ultramax,60000,65000
umx,ultramax,60000,65000
supermax,supermax,50000,59999
smx,supermax,50000,59999
supramax,supermax,50000,59999
handymax,handymax,40000,49999
handysize,handysize,20000,39999
aframax,aframax,80000,119999
